timestamp,ax,ay,az,qs,qx,qy,qz,amag
1636030846712557.000000,-0.013847,-0.014518,1.024739,-0.007625,0.030261,0.418745,0.907568,0.024377
1636030846722144.000000,-0.013969,-0.013969,1.026020,-0.007625,0.030261,0.418745,0.907568,0.024195
1636030846731801.000000,-0.013969,-0.013664,1.027179,-0.007625,0.030261,0.418745,0.907568,0.024020
1636030846741403.000000,-0.016104,-0.014945,1.026142,-0.007625,0.030261,0.418745,0.907568,0.027240
1636030846750987.000000,-0.017019,-0.015067,1.025227,-0.007625,0.030261,0.418745,0.907568,0.028396
1636030846760732.000000,-0.018239,-0.014274,1.025532,-0.007625,0.030261,0.418745,0.907568,0.029480
1636030846770337.000000,-0.019154,-0.014945,1.024800,-0.007625,0.030261,0.418745,0.907568,0.030937
1636030846779945.000000,-0.004758,-0.007442,1.029802,-0.007625,0.030261,0.418745,0.907568,0.010033
1636030846789531.000000,-0.002196,-0.007381,1.028948,-0.007625,0.030261,0.418745,0.907568,0.008008
1636030846799140.000000,-0.014457,-0.013054,1.023702,-0.007625,0.030261,0.418745,0.907568,0.024257
1636030846808888.000000,-0.021106,-0.014701,1.024068,-0.007625,0.030261,0.418745,0.907568,0.033272
1636030846818469.000000,-0.035075,-0.020252,1.024129,-0.007625,0.030261,0.418745,0.907568,0.053578
1636030846828174.000000,-0.053924,-0.020435,1.024678,-0.007625,0.030261,0.418745,0.907568,0.078951
1636030846837750.000000,-0.061183,-0.019520,1.024373,-0.007625,0.030261,0.418745,0.907568,0.088700
1636030846847456.000000,-0.051423,-0.018666,1.024190,-0.007625,0.030261,0.418745,0.907568,0.075080
1636030846857020.000000,-0.038796,-0.014823,1.024678,-0.007625,0.030261,0.418745,0.907568,0.056833
1636030846866619.000000,-0.027450,-0.012200,1.024739,-0.007625,0.030261,0.418745,0.907568,0.040692
1636030846876324.000000,-0.018483,-0.011468,1.025532,-0.007625,0.030261,0.418745,0.907568,0.028544
1636030846885875.000000,-0.015494,-0.010797,1.026569,-0.007625,0.030261,0.418745,0.907568,0.024428
1636030846895601.000000,-0.020435,-0.013176,1.027301,-0.007625,0.030261,0.418745,0.907568,0.031761
1636030846905175.000000,-0.023241,-0.016348,1.027240,-0.007625,0.030261,0.418745,0.907568,0.036709
1636030846914905.000000,-0.020496,-0.015738,1.027362,-0.007625,0.030261,0.418745,0.907568,0.032983
1636030846924491.000000,-0.018239,-0.012993,1.026264,-0.007625,0.030261,0.418745,0.907568,0.028881
1636030846934039.000000,-0.023058,-0.011407,1.024861,-0.007625,0.030261,0.418745,0.907568,0.034547
1636030846943771.000000,-0.033550,-0.008906,1.025898,-0.007625,0.030261,0.418745,0.907568,0.048275
1636030846953396.000000,-0.045262,-0.007930,1.027057,-0.007625,0.030261,0.418745,0.907568,0.064499
1636030846963068.000000,-0.054290,-0.010431,1.026142,-0.007625,0.030261,0.418745,0.907568,0.077483
1636030846972647.000000,-0.059231,-0.010370,1.024129,-0.007625,0.030261,0.418745,0.907568,0.084405
1636030846982369.000000,-0.068320,-0.011163,1.023946,-0.007625,0.030261,0.418745,0.907568,0.097262
1636030846991949.000000,-0.065453,-0.013847,1.023519,-0.007625,0.030261,0.418745,0.907568,0.093594
1636030847001519.000000,-0.057401,-0.014701,1.023824,-0.007625,0.030261,0.418745,0.907568,0.082498
1636030847011255.000000,-0.065148,-0.012505,1.023946,-0.007625,0.030261,0.418745,0.907568,0.092978
1636030847020865.000000,-0.064904,-0.009089,1.023153,-0.007625,0.030261,0.418745,0.907568,0.092237
1636030847030474.000000,-0.057218,-0.007747,1.024190,-0.007625,0.030261,0.418745,0.907568,0.081288
1636030847040029.000000,-0.064111,-0.002867,1.023702,-0.007625,0.030261,0.418745,0.907568,0.090712
1636030847049759.000000,-0.058316,0.002257,1.025715,-0.007625,0.030261,0.418745,0.907568,0.082502
1636030847059348.000000,-0.048129,0.003416,1.027484,-0.007625,0.030261,0.418745,0.907568,0.068150
1636030847068993.000000,-0.048007,0.004148,1.025593,-0.007625,0.030261,0.418745,0.907568,0.068019
1636030847078591.000000,-0.037027,0.002379,1.025898,-0.007625,0.030261,0.418745,0.907568,0.052418
1636030847088340.000000,-0.033001,-0.001159,1.026752,-0.007625,0.030261,0.418745,0.907568,0.046685
1636030847097955.000000,-0.037210,-0.002562,1.026935,-0.007625,0.030261,0.418745,0.907568,0.052685
1636030847107535.000000,-0.030012,-0.004392,1.026447,-0.007625,0.030261,0.418745,0.907568,0.042670
1636030847117270.000000,-0.017873,-0.007808,1.025044,-0.007625,0.030261,0.418745,0.907568,0.026455
1636030847126851.000000,-0.016958,-0.013603,1.025410,-0.007625,0.030261,0.418745,0.907568,0.027572
1636030847136447.000000,-0.016531,-0.019764,1.025471,-0.007625,0.030261,0.418745,0.907568,0.030613
1636030847146179.000000,-0.011346,-0.017995,1.024434,-0.007625,0.030261,0.418745,0.907568,0.024110
1636030847155771.000000,-0.006527,-0.016592,1.024617,-0.007625,0.030261,0.418745,0.907568,0.018987
1636030847165411.000000,-0.004880,-0.017263,1.024922,-0.007625,0.030261,0.418745,0.907568,0.018591
1636030847174995.000000,-0.003172,-0.017568,1.025776,-0.007625,0.030261,0.418745,0.907568,0.018132
1636030847184580.000000,-0.003233,-0.020923,1.026142,-0.007625,0.030261,0.418745,0.907568,0.021417
1636030847194360.000000,-0.017385,-0.020435,1.024800,-0.007625,0.030261,0.418745,0.907568,0.031970
1636030847203949.000000,-0.025925,-0.015555,1.023824,-0.007625,0.030261,0.418745,0.907568,0.039827
1636030847213532.000000,-0.014884,-0.013786,1.024983,-0.007625,0.030261,0.418745,0.907568,0.025162
1636030847223127.000000,0.006649,-0.017873,1.024861,-0.007625,0.030261,0.418745,0.907568,0.020196
1636030847232850.000000,0.024888,-0.023058,1.024129,-0.007625,0.030261,0.418745,0.907568,0.042077
1636030847242446.000000,0.034221,-0.022997,1.025593,-0.007625,0.030261,0.418745,0.907568,0.053582
1636030847252041.000000,0.039162,-0.019703,1.027057,-0.007625,0.030261,0.418745,0.907568,0.058784
1636030847261766.000000,0.037271,-0.017141,1.026813,-0.007625,0.030261,0.418745,0.907568,0.055426
1636030847271351.000000,0.023912,-0.014457,1.026447,-0.007625,0.030261,0.418745,0.907568,0.036777
1636030847280938.000000,0.015372,-0.013420,1.026569,-0.007625,0.030261,0.418745,0.907568,0.025548
1636030847290667.000000,0.022692,-0.012627,1.027423,-0.007625,0.030261,0.418745,0.907568,0.034486
1636030847300277.000000,0.028060,-0.008845,1.027057,-0.007625,0.030261,0.418745,0.907568,0.040657
1636030847309900.000000,0.030195,-0.004392,1.026081,-0.007625,0.030261,0.418745,0.907568,0.042927
1636030847319502.000000,0.036539,-0.002013,1.026447,-0.007625,0.030261,0.418745,0.907568,0.051713
1636030847329233.000000,0.044652,-0.001830,1.026508,-0.007625,0.030261,0.418745,0.907568,0.063174
1636030847338830.000000,0.051789,-0.002989,1.026325,-0.007625,0.030261,0.418745,0.907568,0.073302
1636030847348417.000000,0.056364,-0.004148,1.026203,-0.007625,0.030261,0.418745,0.907568,0.079819
1636030847358169.000000,0.065880,-0.006649,1.026081,-0.007625,0.030261,0.418745,0.907568,0.093405
1636030847367757.000000,0.072590,-0.009150,1.026508,-0.007625,0.030261,0.418745,0.907568,0.103065
1636030847377392.000000,0.073810,-0.010614,1.025654,-0.007625,0.030261,0.418745,0.907568,0.104921
1636030847386985.000000,0.078934,-0.011834,1.025105,-0.007625,0.030261,0.418745,0.907568,0.112255
1636030847396587.000000,0.080459,-0.011712,1.025471,-0.007625,0.030261,0.418745,0.907568,0.114387
1636030847406303.000000,0.075884,-0.011651,1.025410,-0.007625,0.030261,0.418745,0.907568,0.107947
